,vote_date,region,commission_name,voters_number,issued_ballots_number,turned_ballots_number,bad_ballots_number,for_votes_number,for_votes_percent,against_votes_number,against_votes_percent,link
88,"
						Дата голосования:  01.07.2020",Волгоградская область,"Волгоград, Краснооктябрьская",112490,91357,91357,374,74798,"81,87%",16185,"17,72%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
89,"
						Дата голосования:  01.07.2020",Волгоградская область,"Волгоград, Советская",85973,69578,69578,449,56729,"81,53%",12400,"17,82%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
90,"
						Дата голосования:  01.07.2020",Волгоградская область,"Волгоград, Тракторозаводская",96095,80880,80877,518,68318,"84,47%",12041,"14,89%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
91,"
						Дата голосования:  01.07.2020",Волгоградская область,"Волгоград, Центральная",56627,46516,46513,391,39203,"84,28%",6919,"14,88%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
92,"
						Дата голосования:  01.07.2020",Волгоградская область,Волжская городская ,211336,158195,158169,1209,125647,"79,44%",31313,"19,8%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
93,"
						Дата голосования:  01.07.2020",Волгоградская область,Городищенская,49691,35076,35076,262,27090,"77,23%",7724,"22,02%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
94,"
						Дата голосования:  01.07.2020",Волгоградская область,Даниловская,11595,8927,8927,49,6716,"75,23%",2162,"24,22%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
95,"
						Дата голосования:  01.07.2020",Волгоградская область,Дубовская,20997,16602,16590,282,14033,"84,59%",2275,"13,71%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
96,"
						Дата голосования:  01.07.2020",Волгоградская область,Еланская,22542,17994,17994,92,16118,"89,57%",1784,"9,91%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
97,"
						Дата голосования:  01.07.2020",Волгоградская область,Жирновская,30375,25646,25646,97,22728,"88,62%",2821,"10,99%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
98,"
						Дата голосования:  01.07.2020",Волгоградская область,Иловлинская,22006,18446,18446,52,16008,"86,78%",2386,"12,94%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
99,"
						Дата голосования:  01.07.2020",Волгоградская область,Калачевская,43641,33003,33001,289,21528,"65,23%",11184,"33,89%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
100,"
						Дата голосования:  01.07.2020",Волгоградская область,Камышинская,29105,24324,24242,87,21802,"89,93%",2353,"9,71%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
101,"
						Дата голосования:  01.07.2020",Волгоградская область,Киквидзенская,11896,10329,10272,133,9190,"89,47%",949,"9,24%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
102,"
						Дата голосования:  01.07.2020",Волгоградская область,Клетская,12635,10383,10383,73,7925,"76,33%",2385,"22,97%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
103,"
						Дата голосования:  01.07.2020",Волгоградская область,Котельниковская,24501,20641,20641,287,17543,"84,99%",2811,"13,62%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
104,"
						Дата голосования:  01.07.2020",Волгоградская область,Котовская,25423,20728,20728,163,17383,"83,86%",3182,"15,35%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
105,"
						Дата голосования:  01.07.2020",Волгоградская область,Ленинская,21437,16212,16149,529,12977,"80,36%",2643,"16,37%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
106,"
						Дата голосования:  01.07.2020",Волгоградская область,Михайловская,17501,13519,13519,81,10916,"80,75%",2522,"18,66%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
107,"
						Дата голосования:  01.07.2020",Волгоградская область,Нехаевская,11144,9166,9165,197,7727,"84,31%",1241,"13,54%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
108,"
						Дата голосования:  01.07.2020",Волгоградская область,Николаевская,22787,19027,19027,316,16944,"89,05%",1767,"9,29%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
109,"
						Дата голосования:  01.07.2020",Волгоградская область,Новоаннинская,26474,21474,21474,139,18181,"84,67%",3154,"14,69%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
110,"
						Дата голосования:  01.07.2020",Волгоградская область,Новониколаевская,16756,12566,12566,29,11310,90%,1227,"9,76%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
111,"
						Дата голосования:  01.07.2020",Волгоградская область,Октябрьская,16288,14016,14016,183,11595,"82,73%",2238,"15,97%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
112,"
						Дата голосования:  01.07.2020",Волгоградская область,Ольховская,12840,9306,9304,73,7190,"77,28%",2041,"21,94%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
113,"
						Дата голосования:  01.07.2020",Волгоградская область,Палласовская,29402,22703,22703,167,19725,"86,88%",2811,"12,38%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
114,"
						Дата голосования:  01.07.2020",Волгоградская область,Кумылженская,14331,12112,12111,112,10229,"84,46%",1770,"14,61%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
115,"
						Дата голосования:  01.07.2020",Волгоградская область,Руднянская,12117,9705,9704,50,8042,"82,87%",1612,"16,61%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
116,"
						Дата голосования:  01.07.2020",Волгоградская область,Светлоярская,28666,24596,24596,128,22275,"90,56%",2193,"8,92%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
117,"
						Дата голосования:  01.07.2020",Волгоградская область,Серафимовичская,16841,14160,14159,91,11902,"84,06%",2166,"15,3%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
118,"
						Дата голосования:  01.07.2020",Волгоградская область,Среднеахтубинская,42001,32128,32128,184,25507,"79,39%",6437,"20,04%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
119,"
						Дата голосования:  01.07.2020",Волгоградская область,Старополтавская,14656,11325,11325,116,9270,"81,85%",1939,"17,12%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
120,"
						Дата голосования:  01.07.2020",Волгоградская область,Суровикинская,24960,15634,15634,154,10345,"66,17%",5135,"32,85%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
121,"
						Дата голосования:  01.07.2020",Волгоградская область,Урюпинская городская,29056,23926,23926,70,21595,"90,26%",2261,"9,45%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
122,"
						Дата голосования:  01.07.2020",Волгоградская область,Фроловская,10580,9145,9144,107,8056,"88,1%",981,"10,73%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
123,"
						Дата голосования:  01.07.2020",Волгоградская область,Чернышковская,12266,10463,10455,133,8896,"85,09%",1426,"13,64%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
124,"
						Дата голосования:  01.07.2020",Волгоградская область,Камышинская городская,79666,61213,61213,551,52992,"86,57%",7670,"12,53%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
125,"
						Дата голосования:  01.07.2020",Волгоградская область,Михайловская городская,42762,34300,34299,301,28015,"81,68%",5983,"17,44%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
